"","date","age_group","gender","vaccine","public_or_private","dose_1","dose_2","id","dose_3"
"1",2021-01-29,"41 a 50","F","Sputnik","Público",15,251,NA,0
"2",2021-01-29,"41 a 50","F","Sputnik","Público nacional",0,9,NA,0
"3",2021-01-09,"41 a 50","F","Sputnik","Privado",2,0,NA,0
"4",2021-01-09,"41 a 50","F","Sputnik","Público",65,0,NA,0
"5",2021-01-09,"41 a 50","F","Sputnik","Público nacional",19,0,NA,0
"6",2021-01-09,"41 a 50","M","Sputnik","Privado",3,0,NA,0
"7",2021-01-09,"41 a 50","M","Sputnik","Público",42,0,NA,0
"8",2021-01-09,"41 a 50","M","Sputnik","Público nacional",7,0,NA,0
"9",2021-01-09,"51 a 60","F","Sputnik","Privado",3,0,NA,0
"10",2021-01-09,"51 a 60","F","Sputnik","Público",36,0,NA,0
"11",2021-01-09,"51 a 60","F","Sputnik","Público nacional",5,0,NA,0
"12",2021-01-09,"51 a 60","M","Sputnik","Público",30,0,NA,0
"13",2021-01-09,"51 a 60","M","Sputnik","Público nacional",1,0,NA,0
"14",2021-01-10,"30 o menos","F","Sputnik","Privado",12,0,NA,0
"15",2021-01-10,"30 o menos","F","Sputnik","Público",36,0,NA,0
"16",2021-01-10,"30 o menos","M","Sputnik","Privado",9,0,NA,0
"17",2021-01-10,"30 o menos","M","Sputnik","Público",24,0,NA,0
"18",2021-01-10,"31 a 40","F","Sputnik","Privado",28,0,NA,0
"19",2021-01-10,"31 a 40","F","Sputnik","Público",123,0,NA,0
"20",2021-01-10,"31 a 40","M","Sputnik","Privado",17,0,NA,0
"21",2021-01-10,"31 a 40","M","Sputnik","Público",72,0,NA,0
"22",2021-01-10,"41 a 50","F","Sputnik","Privado",12,0,NA,0
"23",2021-01-10,"41 a 50","F","Sputnik","Público",90,0,NA,0
"24",2021-01-10,"41 a 50","M","Sputnik","Privado",9,0,NA,0
"25",2021-01-10,"41 a 50","M","Sputnik","Público",44,0,NA,0
"26",2021-01-10,"51 a 60","F","Sputnik","Privado",1,0,NA,0
"27",2021-01-10,"51 a 60","F","Sputnik","Público",57,0,NA,0
"28",2021-01-10,"51 a 60","M","Sputnik","Privado",3,0,NA,0
"29",2021-01-10,"51 a 60","M","Sputnik","Público",28,0,NA,0
"30",2021-01-10,"61 a 70","M","Sputnik","Privado",1,0,NA,0
"31",2021-01-10,"61 a 70","M","Sputnik","Público",1,0,NA,0
"32",2021-01-11,"30 o menos","F","Sputnik","Privado",29,0,NA,0
"33",2021-01-11,"30 o menos","F","Sputnik","Público",203,0,NA,0
"34",2021-01-11,"30 o menos","F","Sputnik","Público nacional",26,0,NA,0
"35",2021-01-11,"30 o menos","M","Sputnik","Privado",19,0,NA,0
"36",2021-01-11,"30 o menos","M","Sputnik","Público",83,0,NA,0
"37",2021-01-11,"30 o menos","M","Sputnik","Público nacional",9,0,NA,0
"38",2021-01-11,"31 a 40","F","Sputnik","Privado",69,0,NA,0
"39",2021-01-11,"31 a 40","F","Sputnik","Público",294,0,NA,0
"40",2021-01-11,"31 a 40","F","Sputnik","Público nacional",38,0,NA,0
"41",2021-01-11,"31 a 40","M","Sputnik","Privado",51,0,NA,0
"42",2021-01-11,"31 a 40","M","Sputnik","Público",195,0,NA,0
"43",2021-01-11,"31 a 40","M","Sputnik","Público nacional",19,0,NA,0
"44",2021-01-11,"41 a 50","F","Sputnik","Privado",55,0,NA,0
"45",2021-01-11,"41 a 50","F","Sputnik","Público",253,0,NA,0
"46",2021-01-11,"41 a 50","F","Sputnik","Público nacional",15,0,NA,0
"47",2021-01-11,"41 a 50","M","Sputnik","Privado",32,0,NA,0
"48",2021-01-11,"41 a 50","M","Sputnik","Público",131,0,NA,0
"49",2021-01-11,"41 a 50","M","Sputnik","Público nacional",11,0,NA,0
"50",2021-01-11,"51 a 60","F","Sputnik","Privado",22,0,NA,0
"51",2021-01-11,"51 a 60","F","Sputnik","Público",174,0,NA,0
"52",2021-01-11,"51 a 60","F","Sputnik","Público nacional",10,0,NA,0
"53",2021-01-11,"51 a 60","M","Sputnik","Privado",12,0,NA,0
"54",2021-01-11,"51 a 60","M","Sputnik","Público",86,0,NA,0
"55",2021-01-11,"51 a 60","M","Sputnik","Público nacional",7,0,NA,0
