"","date","confirmed_cases","deaths","avg_cases_per_week","avg_deaths_per_week","cumulative_cases","cumulative_deaths","mortality","cumulative_cases_age","cumulative_death_age"
"1",2020-03-02,1,0,NA,NA,1,0,0,45,NA
"2",2020-03-03,1,0,NA,NA,2,0,0,47.5,NA
"3",2020-03-04,0,0,NA,NA,2,0,0,47.5,NA
"4",2020-03-05,5,0,NA,NA,7,0,0,50.57,NA
"5",2020-03-06,1,0,NA,NA,8,0,0,52.88,NA
"6",2020-03-07,1,1,NA,NA,9,1,11.11,55,66
"7",2020-03-08,0,0,1.29,0.14,9,1,11.11,55,66
"8",2020-03-09,1,0,1.29,0.14,10,1,10,52,66
"9",2020-03-10,2,0,1.43,0.14,12,1,8.33,54.75,66
"10",2020-03-11,5,0,2.14,0.14,17,1,5.88,51.06,66
"11",2020-03-12,10,0,2.86,0.14,27,1,3.7,47.22,66
"12",2020-03-13,9,0,4,0.14,36,1,2.78,48,66
"13",2020-03-14,3,0,4.29,0,39,1,2.56,46.62,66
"14",2020-03-15,5,0,5,0,44,1,2.27,44.14,66
"15",2020-03-16,8,0,6,0,52,1,1.92,44.5,66
"16",2020-03-17,21,0,8.71,0,73,1,1.37,44.4,66
"17",2020-03-18,12,1,9.71,0.14,85,2,2.35,44.81,68
"18",2020-03-19,11,0,9.86,0.14,96,2,2.08,44.98,68
"19",2020-03-20,26,0,12.29,0.14,122,2,1.64,45.25,68
"20",2020-03-21,21,0,14.86,0.14,143,2,1.4,44.89,68
"21",2020-03-22,19,0,16.86,0.14,162,2,1.23,45.35,68
"22",2020-03-23,27,0,19.57,0.14,189,2,1.06,45.27,68
"23",2020-03-24,39,0,22.14,0.14,228,2,0.88,45.69,68
"24",2020-03-25,26,2,24.14,0.29,254,4,1.57,46.16,75.75
"25",2020-03-26,23,0,25.86,0.29,277,4,1.44,46.86,75.75
"26",2020-03-27,28,1,26.14,0.43,305,5,1.64,47.2,75
"27",2020-03-28,15,1,25.29,0.57,320,6,1.88,47.53,76.83
"28",2020-03-29,23,0,25.86,0.57,343,6,1.75,47.96,76.83
"29",2020-03-30,33,0,26.71,0.57,376,6,1.6,48.32,76.83
"30",2020-03-31,19,0,23.86,0.57,395,6,1.52,48.38,76.83
"31",2020-04-01,32,1,24.71,0.43,427,7,1.64,48.96,74
"32",2020-04-02,44,0,27.71,0.43,471,7,1.49,49.43,74
"33",2020-04-03,25,0,27.29,0.29,496,7,1.41,50.03,74
"34",2020-04-04,14,2,27.14,0.43,510,9,1.76,50.24,76.44
"35",2020-04-05,20,3,26.71,0.86,530,12,2.26,50.35,74.58
"36",2020-04-06,29,3,26.14,1.29,559,15,2.68,50.37,74.53
"37",2020-04-07,32,1,28,1.43,591,16,2.71,50.5,72.94
"38",2020-04-08,18,3,26,1.71,609,19,3.12,50.26,73.89
"39",2020-04-09,27,4,23.57,2.29,636,23,3.62,49.95,75.96
"40",2020-04-10,7,2,21,2.57,643,25,3.89,49.87,76.24
"41",2020-04-11,16,2,21.29,2.57,659,27,4.1,49.63,76.48
"42",2020-04-12,15,2,20.57,2.43,674,29,4.3,49.46,76.52
"43",2020-04-13,27,1,20.29,2.14,701,30,4.28,49.37,76.53
"44",2020-04-14,22,6,18.86,2.86,723,36,4.98,49.38,77.11
"45",2020-04-15,24,0,19.71,2.43,747,36,4.82,49.38,77.11
"46",2020-04-16,25,4,19.43,2.43,772,40,5.18,49.19,78.17
"47",2020-04-17,27,2,22.29,2.43,799,42,5.26,49.29,78
"48",2020-04-18,25,0,23.57,2.14,824,42,5.1,49.52,78
"49",2020-04-19,29,2,25.57,2.14,853,44,5.16,49.82,78.32
"50",2020-04-20,38,1,27.14,2.14,891,45,5.05,50.37,78.62
"51",2020-04-21,39,4,29.57,1.86,930,49,5.27,50.88,78.84
"52",2020-04-22,50,2,33.29,2.14,980,51,5.2,51.23,78.63
"53",2020-04-23,103,3,44.43,2,1083,54,4.99,51.61,78.8
"54",2020-04-24,62,5,49.43,2.43,1145,59,5.15,51.13,77.97
"55",2020-04-25,44,5,52.14,3.14,1189,64,5.38,50.87,78.36
"56",2020-04-26,27,1,51.86,3,1216,65,5.35,50.58,78.48
"57",2020-04-27,64,3,55.57,3.29,1280,68,5.31,50.22,78.6
"58",2020-04-28,45,5,56.43,3.43,1325,73,5.51,50.02,79.22
"59",2020-04-29,53,5,56.86,3.86,1378,78,5.66,49.75,79.22
"60",2020-04-30,49,4,49.14,4,1427,82,5.75,49.79,79.07
"61",2020-05-01,51,8,47.57,4.43,1478,90,6.09,49.51,79.69
"62",2020-05-02,45,6,47.71,4.57,1523,96,6.3,49.06,79.84
"63",2020-05-03,40,1,49.57,4.57,1563,97,6.21,48.72,79.99
"64",2020-05-04,68,3,50.14,4.57,1631,100,6.13,48.28,79.92
"65",2020-05-05,97,2,57.57,4.14,1728,102,5.9,47.73,79.69
"66",2020-05-06,101,1,64.43,3.57,1829,103,5.63,47.12,79.51
"67",2020-05-07,152,3,79.14,3.43,1981,106,5.35,46.91,79.52
"68",2020-05-08,140,3,91.86,2.71,2121,109,5.14,46.49,79.87
"69",2020-05-09,124,4,103.14,2.43,2245,113,5.03,46.09,80.06
"70",2020-05-10,176,4,122.57,2.86,2421,117,4.83,45.76,80.03
"71",2020-05-11,131,5,131.57,3.14,2552,122,4.78,45.34,79.98
"72",2020-05-12,203,3,146.71,3.29,2755,125,4.54,44.7,79.42
"73",2020-05-13,180,5,158,3.86,2935,130,4.43,44.39,79.21
"74",2020-05-14,217,0,167.29,3.43,3152,130,4.12,43.81,79.21
"75",2020-05-15,223,5,179.14,3.71,3375,135,4,43.15,79.16
"76",2020-05-16,200,5,190,3.86,3575,140,3.92,42.87,79.12
"77",2020-05-17,215,8,195.57,4.43,3790,148,3.91,42.5,78.22
"78",2020-05-18,274,4,216,4.29,4064,152,3.74,42.18,78.26
"79",2020-05-19,266,2,225,4.14,4330,154,3.56,41.85,78.08
"80",2020-05-20,377,7,253.14,4.43,4707,161,3.42,41.34,78.1
"81",2020-05-21,360,7,273.57,5.43,5067,168,3.32,41.01,78.17
"82",2020-05-22,357,3,292.71,5.14,5424,171,3.15,40.87,78.09
"83",2020-05-23,409,4,322.57,5,5833,175,3,40.4,78.1
"84",2020-05-24,333,10,339.43,5.29,6166,185,3,40.08,78.14
"85",2020-05-25,311,7,344.71,5.71,6477,192,2.96,39.97,78.09
"86",2020-05-26,376,6,360.43,6.29,6853,198,2.89,39.8,78.17
"87",2020-05-27,430,7,368,6.29,7283,205,2.81,39.64,78.04
"88",2020-05-28,382,7,371.14,6.29,7665,212,2.77,39.62,77.68
"89",2020-05-29,436,13,382.43,7.71,8101,225,2.78,39.85,77.16
"90",2020-05-30,355,11,374.71,8.71,8456,236,2.79,39.72,77.17
"91",2020-05-31,305,5,370.71,8,8761,241,2.75,39.63,76.92
"92",2020-06-01,351,9,376.43,8.29,9112,250,2.74,39.6,76.66
"93",2020-06-02,447,9,386.57,8.71,9559,259,2.71,39.63,76.37
"94",2020-06-03,391,15,381,9.86,9950,274,2.75,39.66,75.7
"95",2020-06-04,441,16,389.43,11.14,10391,290,2.79,39.53,75.38
"96",2020-06-05,470,15,394.29,11.43,10861,305,2.81,39.48,75.71
"97",2020-06-06,392,15,399.57,12,11253,320,2.84,39.38,75.94
"98",2020-06-07,367,9,408.43,12.57,11620,329,2.83,39.31,76.02
"99",2020-06-08,514,17,431.71,13.71,12134,346,2.85,39.4,75.88
"100",2020-06-09,537,13,444.57,14.29,12671,359,2.83,39.45,75.82
"101",2020-06-10,624,12,477.86,13.86,13295,371,2.79,39.57,75.76
"102",2020-06-11,578,17,497.43,14,13873,388,2.8,39.59,75.69
"103",2020-06-12,663,10,525,13.29,14536,398,2.74,39.55,75.77
"104",2020-06-13,463,13,535.14,13,14999,411,2.74,39.52,75.77
"105",2020-06-14,480,25,551.29,15.29,15479,436,2.82,39.5,76.04
"106",2020-06-15,422,17,538.14,15.29,15901,453,2.85,39.53,75.96
"107",2020-06-16,677,24,558.14,16.86,16578,477,2.88,39.52,75.94
"108",2020-06-17,714,22,571,18.29,17292,499,2.89,39.51,76.06
"109",2020-06-18,736,19,593.57,18.57,18028,518,2.87,39.47,76.1
"110",2020-06-19,663,18,593.57,19.71,18691,536,2.87,39.55,76.01
"111",2020-06-20,717,21,629.86,20.86,19408,557,2.87,39.67,75.91
"112",2020-06-21,732,23,665.86,20.57,20140,580,2.88,39.64,76.1
"113",2020-06-22,866,21,729.29,21.14,21006,601,2.86,39.72,76.23
"114",2020-06-23,849,22,753.86,20.86,21855,623,2.85,39.8,76.14
"115",2020-06-24,858,16,774.43,20,22713,639,2.81,39.86,76.07
"116",2020-06-25,830,23,787.86,20.57,23543,662,2.81,39.92,76.32
"117",2020-06-26,883,23,819.29,21.29,24426,685,2.8,39.95,76.45
"118",2020-06-27,765,23,826.14,21.57,25191,708,2.81,39.86,76.59
"119",2020-06-28,664,24,816.43,21.71,25855,732,2.83,39.82,76.58
"120",2020-06-29,763,17,801.71,21.14,26618,749,2.81,39.82,76.66
"121",2020-06-30,858,27,803,21.86,27476,776,2.82,39.88,76.68
"122",2020-07-01,746,29,787,23.71,28222,805,2.85,39.9,76.86
"123",2020-07-02,855,30,790.57,24.71,29077,835,2.87,39.93,76.97
"124",2020-07-03,962,28,801.86,25.43,30039,863,2.87,39.97,77.03
"125",2020-07-04,698,24,792.29,25.57,30737,887,2.89,40.02,76.94
"126",2020-07-05,770,39,807.43,27.71,31507,926,2.94,40.16,77.06
"127",2020-07-06,1065,23,850.57,28.57,32572,949,2.91,40.34,77.1
"128",2020-07-07,1091,37,883.86,30,33663,986,2.93,40.5,77.05
