"","date","Sputnik","AstraZeneca","Pfizer","Sinopharm","Cansino"
"1","2020-12-29",671,0,0,0,0
"2","2020-12-30",1453,0,0,0,0
"3","2020-12-31",1534,0,0,0,0
"4","2021-01-02",1916,0,0,0,0
"5","2021-01-03",2064,0,0,0,0
"6","2021-01-04",2908,0,0,0,0
"7","2021-01-05",4108,0,0,0,0
"8","2021-01-06",5397,0,0,0,0
"9","2021-01-07",6818,0,0,0,0
"10","2021-01-08",8660,0,0,0,0
"11","2021-01-09",9099,0,0,0,0
"12","2021-01-10",9666,0,0,0,0
"13","2021-01-11",11514,0,0,0,0
"14","2021-01-12",13194,0,0,0,0
"15","2021-01-13",14549,0,0,0,0
"16","2021-01-14",16762,0,0,0,0
"17","2021-01-15",20171,0,0,0,0
"18","2021-01-16",21500,0,0,0,0
"19","2021-01-17",22329,0,0,0,0
"20","2021-01-18",22833,0,0,0,0
"21","2021-01-19",23586,0,0,0,0
"22","2021-01-20",24380,0,0,0,0
"23","2021-01-21",24701,0,0,0,0
"24","2021-01-22",24790,0,0,0,0
"25","2021-01-23",25108,0,0,0,0
"26","2021-01-24",25240,0,0,0,0
"27","2021-01-25",25985,0,0,0,0
"28","2021-01-26",27032,0,0,0,0
"29","2021-01-27",28144,0,0,0,0
"30","2021-01-28",29410,0,0,0,0
"31","2021-01-29",31106,0,0,0,0
"32","2021-01-30",31518,0,0,0,0
"33","2021-01-31",31861,0,0,0,0
"34","2021-02-01",33352,0,0,0,0
"35","2021-02-02",36540,0,0,0,0
"36","2021-02-03",40120,0,0,0,0
"37","2021-02-04",43689,0,0,0,0
"38","2021-02-05",49316,0,0,0,0
"39","2021-02-06",50565,0,0,0,0
"40","2021-02-07",51570,0,0,0,0
"41","2021-02-08",54032,1,0,0,0
"42","2021-02-09",56957,1,0,0,0
"43","2021-02-10",58528,1,0,0,0
"44","2021-02-11",60051,1,0,0,0
"45","2021-02-12",61531,1,0,0,0
"46","2021-02-13",61603,1,0,0,0
"47","2021-02-14",61634,1,0,0,0
"48","2021-02-16",61681,1,0,0,0
"49","2021-02-17",63998,1,0,0,0
"50","2021-02-18",69762,1,0,0,0
"51","2021-02-19",75270,1,2,0,0
"52","2021-02-20",76511,1,7,0,0
"53","2021-02-21",77340,4,7,0,0
"54","2021-02-22",81577,5439,7,0,0
"55","2021-02-23",87737,10637,8,0,0
"56","2021-02-24",93553,16487,8,0,0
"57","2021-02-25",99383,22247,10,0,0
"58","2021-02-26",105351,28070,11,0,0
"59","2021-02-27",106262,28797,11,1,0
"60","2021-02-28",106500,29066,11,2,0
"61","2021-03-01",109297,35442,11,2,0
"62","2021-03-02",112025,41513,11,131,1
"63","2021-03-03",114265,47243,11,882,1
"64","2021-03-04",116012,48609,12,1934,1
"65","2021-03-05",117687,49450,14,3146,1
"66","2021-03-06",117817,50288,15,5172,1
"67","2021-03-07",117837,51069,15,7087,1
"68","2021-03-08",119518,53419,20,7847,1
"69","2021-03-09",126737,55282,22,9379,1
"70","2021-03-10",135221,56269,23,12692,1
"71","2021-03-11",146694,57261,24,17748,1
"72","2021-03-12",154721,57638,28,23482,1
"73","2021-03-13",155856,58007,31,28587,1
"74","2021-03-14",156877,58008,32,32564,1
"75","2021-03-15",163352,58360,33,37707,1
"76","2021-03-16",172438,58574,33,41806,1
"77","2021-03-17",182443,58765,33,45054,1
"78","2021-03-18",191783,58998,35,49759,1
"79","2021-03-19",200525,59228,37,54900,1
"80","2021-03-20",206185,59228,38,56372,1
