"","commune","population","density_km2","overcrowding","poverty","income","confirmed_cases","confirmed_by_1M","deaths","deaths_by_1M","mortality_rate"
"1",1,256405,14.433,19,26.5,41676,58098,226587,831,3241,1
"2",2,149430,23.71,2.7,5.2,53776,38922,260470,624,4176,2
"3",3,193276,30.27,10.5,21.2,32891,51723,267612,959,4962,2
"4",4,240100,11.08,16.4,43,26042,69729,290416,999,4161,1
"5",5,187518,28.16,7.9,21.1,38697,45733,243886,699,3728,2
"6",6,185456,27.07,3.4,7.3,46411,42481,229062,637,3435,1
"7",7,241861,19.462,11.2,29.9,33404,54254,224319,952,3936,2
"8",8,228953,10.271,20.9,47.3,22957,48965,213865,720,3145,1
"9",9,171264,10.376,8,17.6,29605,40491,236424,668,3900,2
"10",10,170592,13.478,6.7,13,34920,38349,224800,653,3828,2
"11",11,190076,13.462,4.2,11.9,37798,43792,230392,663,3488,2
"12",12,214777,13.796,3.7,15.8,44684,45930,213850,672,3129,1
"13",13,236358,16.132,1.9,5.8,52863,53789,227574,732,3097,1
"14",14,227115,14.332,2.2,5.5,59536,58127,255936,805,3544,1
"15",15,182465,12.74,4.7,18.1,40240,47385,259694,686,3760,1
