"","commune","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1",1,90,628,9723,15663,25573,35896,44309,49769,53053,57651,66945,72834,81087,102681,124370,136405,143714,147758,149053,150340,152255,170371,226587
"2",2,248,529,2536,5889,13833,23877,34103,40902,45707,54052,70474,79348,90979,116396,137984,152760,162310,169230,171498,173533,176732,205722,260470
"3",3,269,662,2903,11041,24876,40165,51248,58171,61886,66822,76838,83104,92846,118970,144757,158721,166953,171030,172712,174181,176132,198323,267612
"4",4,46,325,3494,16576,32345,46943,56227,61887,65023,69479,77984,83186,91608,117705,144790,160741,169125,173057,174382,175552,177472,202020,290416
"5",5,107,405,1659,6495,15678,26445,35895,42423,46118,50939,61343,68207,77203,100358,122884,135966,144221,148551,149879,151319,153543,178644,243886
"6",6,86,291,1089,3656,10590,19978,27354,32590,35512,40662,51619,58413,67951,90631,111207,123808,132166,136140,137968,139656,142379,169075,229062
"7",7,107,781,7260,16753,26958,37001,44153,49235,52067,56557,65244,70884,78975,98714,118593,129665,135785,139382,140713,141970,143922,164065,224319
"8",8,17,245,1992,16095,31605,43114,50696,55549,58121,61043,67302,71325,77391,96356,117269,128284,133648,136373,137312,138138,139195,153232,213865
"9",9,53,420,1191,6043,16127,27647,37188,42735,45415,50063,60579,66360,75889,98958,120866,134342,142190,146225,147678,148951,151246,171852,236424
"10",10,100,404,1049,4942,12404,21361,28530,33894,36731,41514,52101,59165,68215,90760,111623,124045,131958,136120,137662,139051,141513,164978,224800
"11",11,153,400,1000,4161,10491,19208,26795,31924,34865,40379,52263,59571,69825,92873,112808,125197,133541,139023,141054,143001,145600,172242,230392
"12",12,140,372,852,3073,8823,16641,23904,29011,31842,36857,48059,54377,63419,84841,104257,116232,124729,129972,132337,134973,137752,161931,213850
"13",13,173,512,1350,3410,9333,17376,24971,30970,34401,40384,53851,61132,71481,93155,112499,125010,133704,139839,142491,144624,147662,175594,227574
"14",14,229,520,1431,4548,12280,22522,32622,39275,43542,51608,66631,75226,86604,110834,131832,144927,154560,161015,163265,165366,168545,197640,255936
"15",15,132,340,1337,6264,15548,26339,35075,41783,45050,50273,62105,69345,79215,104595,129389,143244,151925,156923,158825,161061,163878,192223,259694
