"","neighborhood","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1","AGRONOMIA",216,503,863,2731,7260,14017,22139,27027,29399,33281,43560,49597,57145,76624,94523,106095,112924,119968,122053,125647,127660,154543,208669
"2","ALMAGRO",129,471,1746,6925,16735,28041,38269,45277,49112,54268,65384,72666,82476,106645,130358,143593,152408,157017,158376,159994,162363,188604,255530
"3","BALVANERA",302,684,2958,11913,26741,42159,53798,60939,64747,69764,80345,86809,97203,123951,150958,165685,173970,178066,179786,181291,183184,205923,276349
"4","BARRACAS",22,279,5176,24482,43174,59596,69713,74979,77785,82827,91256,96286,105095,133010,160075,174898,182031,185250,186267,187039,188235,207128,277747
"5","BELGRANO",222,689,1513,3508,9931,17875,26183,32518,36114,42671,57972,65781,76877,99725,119517,131863,140559,147275,150158,152605,155963,185092,239263
"6","BOCA",44,288,2194,11704,29637,45752,56325,64638,69426,73881,83346,89198,98220,131248,161018,178840,187950,192162,193403,194157,195664,216501,298406
"7","BOEDO",63,296,1712,6469,15558,26762,35746,42109,46083,50839,61134,68067,76417,100917,124191,139200,147381,151714,153194,154399,156619,183063,255359
"8","CABALLITO",91,307,1147,3851,11154,21042,28811,34326,37404,42828,54369,61525,71571,95459,117131,130404,139207,143393,145318,147096,149964,178082,241265
"9","CHACARITA",144,396,1261,11239,27196,40993,49710,57815,61201,66964,80329,87893,98483,126977,154677,169626,178812,183927,186088,188070,191095,223479,301070
"10","COGHLAN",108,269,1344,3978,11557,18544,27736,32036,35154,39884,51924,59020,68749,90894,111481,123253,131692,135992,138626,141475,144969,172275,228929
"11","COLEGIALES",190,362,1598,4377,10599,19410,25423,31246,35223,40266,52178,58876,69000,89798,107153,119922,128161,133718,135887,137409,140092,168275,218607
"12","CONSTITUCION",0,272,2675,12447,29066,45594,57451,64956,69603,74909,84771,91822,102183,131793,159816,173963,181740,185435,186705,187635,189176,209309,284286
"13","FLORES",122,1035,10085,22305,33985,45420,53235,58487,61500,66350,75704,81845,90676,111959,133084,144246,150472,154452,155919,157276,159290,179155,243363
"14","FLORESTA",106,426,1810,7079,16873,26640,35422,41411,44232,48277,58097,64617,72761,95702,116540,128942,135995,140173,141504,142861,145123,166760,225150
"15","LINIERS",23,408,1065,3988,12848,22705,33083,38136,40877,46429,59254,66437,77608,103077,125034,139513,147897,151840,152973,154536,157006,180731,241118
"16","MATADEROS",47,233,916,5261,14821,25265,34236,40986,44090,49320,60742,67074,77519,102986,127010,141815,150506,155426,157024,158297,160780,184152,256363
"17","MONSERRAT",75,576,1804,8568,23350,37180,48955,55269,59603,64313,76114,84331,95631,122163,152302,168713,178183,183194,184898,186701,189157,213484,289848
"18","MONTE CASTRO",149,684,981,3034,8803,16953,23853,29652,32418,37058,47200,54100,64480,85983,108051,121732,130000,134134,136246,138239,141718,167326,230735
"19","NUEVA POMPEYA",94,515,3724,18644,36843,54011,64879,70828,74435,79963,90221,96405,105984,132802,163391,178873,186486,190210,191638,192809,194519,216091,298489
"20","NUÑEZ",58,289,847,2560,7604,15977,24255,30260,33109,39289,51320,58692,68567,90608,112957,126951,137038,143006,145874,148088,151033,178810,232728
"21","PALERMO",230,521,1435,4560,12312,22579,32706,39376,43653,51741,66802,75419,86826,111118,132170,145298,154957,161428,163684,165790,168977,198147,256593
"22","PARQUE AVELLANEDA",94,733,1841,9769,23296,39546,50781,56266,58859,62879,72254,77232,85987,108268,131470,144902,152680,156437,158241,159500,161829,180165,250446
"23","PARQUE CHACABUCO",107,338,1759,6876,16631,26403,34328,40831,44207,49342,59363,65670,74661,97351,121107,136103,144223,148061,149500,150939,153444,182015,253496
"24","PARQUE CHAS",343,629,1429,3774,10864,20985,29276,35737,38767,43227,53748,60324,69758,91600,113671,127909,136200,141289,143347,147578,150094,178855,236663
"25","PARQUE PATRICIOS",73,439,2879,11370,24253,38307,47652,53971,57192,61632,71953,78565,88764,116433,151397,176748,192339,199829,202513,205636,210833,268000,455728
"26","PATERNAL",101,254,2840,15165,31090,41893,49500,55384,59086,63651,74758,81909,91495,115383,141502,156413,165035,168687,170107,171984,174317,200284,272912
"27","PUERTO MADERO",446,446,2974,22450,42522,65418,83705,94707,100506,110913,130092,142432,155367,191942,214541,228219,240410,247101,250074,252602,255278,279066,334523
"28","RECOLETA",234,500,2400,5572,13088,22592,32267,38700,43246,51142,66681,75077,86081,110130,130556,144537,153572,160120,162266,164191,167218,194647,246448
"29","RETIRO",107,1483,33342,39778,46229,53827,60233,64804,67708,72539,81559,86787,93422,111813,132221,143580,150245,154404,155657,157216,159448,176861,227524
"30","SAAVEDRA",99,298,616,2585,8072,15151,21314,25967,28552,33940,44915,51258,60801,83408,104861,118401,127468,132836,135242,137230,139457,162203,214753
"31","SAN CRISTOBAL",206,679,3086,9854,22485,39209,50009,57127,61015,66302,75888,82327,91358,118780,144124,157557,166608,171114,172883,174426,176771,200016,274238
"32","SAN NICOLAS",239,649,2220,7823,22102,38261,52745,62686,68459,77648,95856,105831,121853,160933,197315,219383,233560,241315,243672,245824,249377,281420,378198
"33","SAN TELMO",147,342,1809,6992,18873,30705,40385,47866,51093,56080,67081,74610,85269,113577,141446,157385,168142,174498,176307,178018,180805,207647,282892
"34","VELEZ SARSFIELD",29,371,1140,6556,14025,22605,28705,33779,36373,41589,53077,60090,69582,91845,113794,125196,133235,137054,138394,139420,142100,166272,228186
"35","VERSALLES",0,72,362,3111,9116,17436,23947,29084,32195,38562,51512,60628,71408,96006,115685,129576,137607,144407,146361,148314,150991,178990,238750
"36","VILLA CRESPO",85,281,1232,4612,12140,22719,32126,38849,42350,47768,59835,67339,77832,105309,131249,144951,153601,158433,160397,161947,164741,192169,261314
"37","VILLA DEL PARQUE",181,416,850,3184,8322,16789,23954,29164,32131,38138,49536,56357,66669,89067,109384,122374,130407,136486,138874,140901,143415,171024,227200
"38","VILLA DEVOTO",135,376,1037,3608,9350,17679,25932,31223,34335,40423,54103,62431,73405,95383,113408,125389,134499,139896,141910,143699,146510,172833,227297
"39","VILLA GRAL. MITRE",115,403,1181,5013,13511,22816,30363,35664,38170,42779,53467,59689,69743,95382,118255,129519,137787,142828,144499,146833,149224,174459,236482
"40","VILLA LUGANO",32,245,2255,19237,37737,49702,58264,64072,66928,70489,77880,82517,89172,111178,136349,150102,156765,160025,160967,161980,163222,179839,251318
"41","VILLA LURO",123,246,708,4892,12430,23691,31629,37228,40459,45351,56673,64427,73380,99378,121962,135622,144853,149099,150545,151683,153683,177589,241370
"42","VILLA ORTUZAR",92,230,690,2300,8419,19231,27190,34137,36713,42556,54196,61373,70022,91369,113406,126564,136226,141516,143035,146025,149844,179104,238636
"43","VILLA PUEYRREDON",151,555,908,2900,8347,15484,22091,27437,30438,35179,46628,53362,62339,83901,103949,115751,123720,129873,132395,135951,138422,163060,218515
"44","VILLA REAL",224,596,745,3204,12221,20046,27424,32193,35621,41434,52314,60064,68709,90692,109919,121619,130114,133691,135256,136672,138311,161935,222148
"45","VILLA RIACHUELO",0,1136,1917,8307,22011,37347,48282,57441,62340,69369,84564,93652,105368,136254,170406,187731,197671,203138,204913,206901,209600,242403,331724
"46","VILLA SANTA RITA",180,420,990,6032,13293,22656,29707,34239,37269,41800,52243,59505,68507,92243,112438,125911,133383,138545,140405,142146,144696,172033,237209
"47","VILLA SOLDATI",0,192,3078,24306,46110,65499,76188,81490,84889,87454,93546,97971,106159,130229,154300,165844,171102,173988,175506,176212,177216,191154,267919
"48","VILLA URQUIZA",186,415,994,3724,10299,20237,29160,35396,38684,44472,57316,64295,74397,98391,119284,132433,142219,148029,150629,153599,157116,185118,242511
