"","commune","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1",1,23,161,2493,4016,6557,9204,11361,12761,13603,14782,17165,18675,20791,26328,31889,34975,36849,37886,38218,38548,39039,43684,58098
"2",2,37,79,379,880,2067,3568,5096,6112,6830,8077,10531,11857,13595,17393,20619,22827,24254,25288,25627,25931,26409,30741,38922
"3",3,52,128,561,2134,4808,7763,9905,11243,11961,12915,14851,16062,17945,22994,27978,30677,32268,33056,33381,33665,34042,38331,51723
"4",4,11,78,839,3980,7766,11271,13500,14859,15612,16682,18724,19973,21995,28261,34764,38594,40607,41551,41869,42150,42611,48505,69729
"5",5,20,76,311,1218,2940,4959,6731,7955,8648,9552,11503,12790,14477,18819,23043,25496,27044,27856,28105,28375,28792,33499,45733
"6",6,16,54,202,678,1964,3705,5073,6044,6586,7541,9573,10833,12602,16808,20624,22961,24511,25248,25587,25900,26405,31356,42481
"7",7,26,189,1756,4052,6520,8949,10679,11908,12593,13679,15780,17144,19101,23875,28683,31361,32841,33711,34033,34337,34809,39681,54254
"8",8,4,56,456,3685,7236,9871,11607,12718,13307,13976,15409,16330,17719,22061,26849,29371,30599,31223,31438,31627,31869,35083,48965
"9",9,9,72,204,1035,2762,4735,6369,7319,7778,8574,10375,11365,12997,16948,20700,23008,24352,25043,25292,25510,25903,29432,40491
"10",10,17,69,179,843,2116,3644,4867,5782,6266,7082,8888,10093,11637,15483,19042,21161,22511,23221,23484,23721,24141,28144,38349
"11",11,29,76,190,791,1994,3651,5093,6068,6627,7675,9934,11323,13272,17653,21442,23797,25383,26425,26811,27181,27675,32739,43792
"12",12,30,80,183,660,1895,3574,5134,6231,6839,7916,10322,11679,13621,18222,22392,24964,26789,27915,28423,28989,29586,34779,45930
"13",13,41,121,319,806,2206,4107,5902,7320,8131,9545,12728,14449,16895,22018,26590,29547,31602,33052,33679,34183,34901,41503,53789
"14",14,52,118,325,1033,2789,5115,7409,8920,9889,11721,15133,17085,19669,25172,29941,32915,35103,36569,37080,37557,38279,44887,58127
"15",15,24,62,244,1143,2837,4806,6400,7624,8220,9173,11332,12653,14454,19085,23609,26137,27721,28633,28980,29388,29902,35074,47385
