"","neighborhood","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1","AGRONOMIA",3,7,12,38,101,195,308,376,409,463,606,690,795,1066,1315,1476,1571,1669,1698,1748,1776,2150,2903
"2","ALMAGRO",17,62,230,912,2204,3693,5040,5963,6468,7147,8611,9570,10862,14045,17168,18911,20072,20679,20858,21071,21383,24839,33653
"3","BALVANERA",42,95,411,1655,3715,5857,7474,8466,8995,9692,11162,12060,13504,17220,20972,23018,24169,24738,24977,25186,25449,28608,38392
"4","BARRACAS",2,25,463,2190,3862,5331,6236,6707,6958,7409,8163,8613,9401,11898,14319,15645,16283,16571,16662,16731,16838,18528,24845
"5","BELGRANO",28,87,191,443,1254,2257,3306,4106,4560,5388,7320,8306,9707,12592,15091,16650,17748,18596,18960,19269,19693,23371,30211
"6","BOCA",2,13,99,528,1337,2064,2541,2916,3132,3333,3760,4024,4431,5921,7264,8068,8479,8669,8725,8759,8827,9767,13462
"7","BOEDO",3,14,81,306,736,1266,1691,1992,2180,2405,2892,3220,3615,4774,5875,6585,6972,7177,7247,7304,7409,8660,12080
"8","CABALLITO",16,54,202,678,1964,3705,5073,6044,6586,7541,9573,10833,12602,16808,20624,22961,24511,25248,25587,25900,26405,31356,42481
"9","CHACARITA",4,11,35,312,755,1138,1380,1605,1699,1859,2230,2440,2734,3525,4294,4709,4964,5106,5166,5221,5305,6204,8358
"10","COGHLAN",2,5,25,74,215,345,516,596,654,742,966,1098,1279,1691,2074,2293,2450,2530,2579,2632,2697,3205,4259
"11","COLEGIALES",10,19,84,230,557,1020,1336,1642,1851,2116,2742,3094,3626,4719,5631,6302,6735,7027,7141,7221,7362,8843,11488
"12","CONSTITUCION",0,12,118,549,1282,2011,2534,2865,3070,3304,3739,4050,4507,5813,7049,7673,8016,8179,8235,8276,8344,9232,12539
"13","FLORES",20,170,1657,3665,5584,7463,8747,9610,10105,10902,12439,13448,14899,18396,21867,23701,24724,25378,25619,25842,26173,29437,39987
"14","FLORESTA",4,16,68,266,634,1001,1331,1556,1662,1814,2183,2428,2734,3596,4379,4845,5110,5267,5317,5368,5453,6266,8460
"15","LINIERS",1,18,47,176,567,1002,1460,1683,1804,2049,2615,2932,3425,4549,5518,6157,6527,6701,6751,6820,6929,7976,10641
"16","MATADEROS",3,15,59,339,955,1628,2206,2641,2841,3178,3914,4322,4995,6636,8184,9138,9698,10015,10118,10200,10360,11866,16519
"17","MONSERRAT",3,23,72,342,932,1484,1954,2206,2379,2567,3038,3366,3817,4876,6079,6734,7112,7312,7380,7452,7550,8521,11569
"18","MONTE CASTRO",5,23,33,102,296,570,802,997,1090,1246,1587,1819,2168,2891,3633,4093,4371,4510,4581,4648,4765,5626,7758
"19","NUEVA POMPEYA",4,22,159,796,1573,2306,2770,3024,3178,3414,3852,4116,4525,5670,6976,7637,7962,8121,8182,8232,8305,9226,12744
"20","NUÑEZ",3,15,44,133,395,830,1260,1572,1720,2041,2666,3049,3562,4707,5868,6595,7119,7429,7578,7693,7846,9289,12090
"21","PALERMO",52,118,325,1033,2789,5115,7409,8920,9889,11721,15133,17085,19669,25172,29941,32915,35103,36569,37080,37557,38279,44887,58127
"22","PARQUE AVELLANEDA",5,39,98,520,1240,2105,2703,2995,3133,3347,3846,4111,4577,5763,6998,7713,8127,8327,8423,8490,8614,9590,13331
"23","PARQUE CHACABUCO",6,19,99,387,936,1486,1932,2298,2488,2777,3341,3696,4202,5479,6816,7660,8117,8333,8414,8495,8636,10244,14267
"24","PARQUE CHAS",6,11,25,66,190,367,512,625,678,756,940,1055,1220,1602,1988,2237,2382,2471,2507,2581,2625,3128,4139
"25","PARQUE PATRICIOS",3,18,118,466,994,1570,1953,2212,2344,2526,2949,3220,3638,4772,6205,7244,7883,8190,8300,8428,8641,10984,18678
"26","PATERNAL",2,5,56,299,613,826,976,1092,1165,1255,1474,1615,1804,2275,2790,3084,3254,3326,3354,3391,3437,3949,5381
"27","PUERTO MADERO",3,3,20,151,286,440,563,637,676,746,875,958,1045,1291,1443,1535,1617,1662,1682,1699,1717,1877,2250
"28","RECOLETA",37,79,379,880,2067,3568,5096,6112,6830,8077,10531,11857,13595,17393,20619,22827,24254,25288,25627,25931,26409,30741,38922
"29","RETIRO",7,97,2181,2602,3024,3521,3940,4239,4429,4745,5335,5677,6111,7314,8649,9392,9828,10100,10182,10284,10430,11569,14883
"30","SAAVEDRA",5,15,31,130,406,762,1072,1306,1436,1707,2259,2578,3058,4195,5274,5955,6411,6681,6802,6902,7014,8158,10801
"31","SAN CRISTOBAL",10,33,150,479,1093,1906,2431,2777,2966,3223,3689,4002,4441,5774,7006,7659,8099,8318,8404,8479,8593,9723,13331
"32","SAN NICOLAS",7,19,65,229,647,1120,1544,1835,2004,2273,2806,3098,3567,4711,5776,6422,6837,7064,7133,7196,7300,8238,11071
"33","SAN TELMO",3,7,37,143,386,628,826,979,1045,1147,1372,1526,1744,2323,2893,3219,3439,3569,3606,3641,3698,4247,5786
"34","VELEZ SARSFIELD",1,13,40,230,492,793,1007,1185,1276,1459,1862,2108,2441,3222,3992,4392,4674,4808,4855,4891,4985,5833,8005
"35","VERSALLES",0,1,5,43,126,241,331,402,445,533,712,838,987,1327,1599,1791,1902,1996,2023,2050,2087,2474,3300
"36","VILLA CRESPO",7,23,101,378,995,1862,2633,3184,3471,3915,4904,5519,6379,8631,10757,11880,12589,12985,13146,13273,13502,15750,21417
"37","VILLA DEL PARQUE",10,23,47,176,460,928,1324,1612,1776,2108,2738,3115,3685,4923,6046,6764,7208,7544,7676,7788,7927,9453,12558
"38","VILLA DEVOTO",9,25,69,240,622,1176,1725,2077,2284,2689,3599,4153,4883,6345,7544,8341,8947,9306,9440,9559,9746,11497,15120
"39","VILLA GRAL. MITRE",4,14,41,174,469,792,1054,1238,1325,1485,1856,2072,2421,3311,4105,4496,4783,4958,5016,5097,5180,6056,8209
"40","VILLA LUGANO",4,31,285,2431,4769,6281,7363,8097,8458,8908,9842,10428,11269,14050,17231,18969,19811,20223,20342,20470,20627,22727,31760
"41","VILLA LURO",4,8,23,159,404,770,1028,1210,1315,1474,1842,2094,2385,3230,3964,4408,4708,4846,4893,4930,4995,5772,7845
"42","VILLA ORTUZAR",2,5,15,50,183,418,591,742,798,925,1178,1334,1522,1986,2465,2751,2961,3076,3109,3174,3257,3893,5187
"43","VILLA PUEYRREDON",6,22,36,115,331,614,876,1088,1207,1395,1849,2116,2472,3327,4122,4590,4906,5150,5250,5391,5489,6466,8665
"44","VILLA REAL",3,8,10,43,164,269,368,432,478,556,702,806,922,1217,1475,1632,1746,1794,1815,1834,1856,2173,2981
"45","VILLA RIACHUELO",0,16,27,117,310,526,680,809,878,977,1191,1319,1484,1919,2400,2644,2784,2861,2886,2914,2952,3414,4672
"46","VILLA SANTA RITA",6,14,33,201,443,755,990,1141,1242,1393,1741,1983,2283,3074,3747,4196,4445,4617,4679,4737,4822,5733,7905
"47","VILLA SOLDATI",0,9,144,1137,2157,3064,3564,3812,3971,4091,4376,4583,4966,6092,7218,7758,8004,8139,8210,8243,8290,8942,12533
"48","VILLA URQUIZA",17,38,91,341,943,1853,2670,3241,3542,4072,5248,5887,6812,9009,10922,12126,13022,13554,13792,14064,14386,16950,22205
