"","commune","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1",1,16,55,234,452,866,1205,1451,1583,1622,1728,1860,1962,2094,2488,2855,3042,3136,3175,3186,3194,3202,3221,3241
"2",2,27,54,241,475,984,1399,1773,1947,2095,2235,2456,2670,2811,3313,3734,3955,4029,4109,4109,4109,4109,4156,4176
"3",3,10,36,166,548,1174,1718,2147,2401,2499,2618,2856,2985,3203,3787,4403,4739,4853,4874,4879,4895,4895,4920,4962
"4",4,4,17,108,508,1066,1537,1853,1962,2024,2120,2270,2403,2570,3074,3578,3865,3978,4044,4057,4073,4086,4111,4161
"5",5,5,43,144,379,880,1339,1685,1802,1904,2016,2208,2341,2501,2885,3296,3541,3632,3653,3653,3653,3658,3680,3728
"6",6,11,27,43,226,599,1025,1310,1477,1542,1612,1817,1963,2162,2653,2987,3230,3322,3338,3343,3343,3349,3392,3435
"7",7,12,95,351,707,1249,1670,1914,2059,2113,2216,2361,2456,2654,3060,3547,3787,3841,3874,3891,3895,3895,3915,3936
"8",8,0,22,92,341,773,1074,1293,1476,1516,1577,1712,1799,1917,2297,2765,2988,3062,3084,3092,3101,3101,3105,3145
"9",9,0,82,123,368,888,1302,1612,1769,1874,1985,2131,2271,2458,2995,3457,3673,3743,3789,3807,3825,3842,3854,3900
"10",10,23,70,117,363,768,1225,1501,1712,1817,1923,2110,2286,2497,2913,3359,3564,3687,3775,3781,3781,3793,3799,3828
"11",11,16,42,84,347,700,1184,1489,1599,1678,1778,1947,2057,2283,2725,3109,3336,3414,3435,3446,3451,3451,3467,3488
"12",12,5,37,79,307,754,1015,1206,1350,1420,1550,1704,1793,1937,2389,2747,2952,3012,3064,3068,3087,3092,3115,3129
"13",13,0,55,186,313,694,1024,1261,1405,1468,1557,1714,1832,1972,2297,2661,2898,2987,3025,3029,3034,3042,3076,3097
"14",14,18,40,123,383,788,1202,1519,1664,1717,1836,2017,2162,2364,2756,3170,3373,3434,3465,3465,3478,3487,3518,3544
"15",15,0,60,164,318,817,1233,1556,1737,1820,1913,2110,2247,2450,2905,3392,3595,3694,3732,3732,3732,3732,3743,3760
