"","neighborhood","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1","AGRONOMIA",0,144,144,144,719,934,1294,1438,1509,1797,2228,2228,2372,2660,3235,3306,3378,3450,3450,3450,3450,3450,3522
"2","ALMAGRO",8,38,121,357,904,1405,1807,1921,2035,2179,2339,2506,2635,3030,3493,3751,3857,3880,3880,3880,3888,3903,3956
"3","BALVANERA",7,22,151,554,1180,1656,2095,2383,2491,2606,2872,3002,3203,3808,4463,4801,4909,4923,4923,4945,4945,4974,5024
"4","BARRACAS",0,11,157,592,1174,1554,1833,1923,1968,2046,2158,2202,2325,2828,3208,3488,3600,3656,3667,3678,3689,3689,3745
"5","BELGRANO",0,79,166,293,681,974,1235,1410,1473,1568,1774,1901,2043,2416,2764,2994,3065,3081,3089,3097,3105,3136,3152
"6","BOCA",22,44,89,377,864,1463,1840,1995,2106,2261,2438,2660,2904,3635,4189,4478,4566,4611,4633,4655,4655,4655,4655
"7","BOEDO",0,63,233,507,972,1395,1649,1797,1881,1924,2241,2304,2579,3002,3340,3594,3657,3678,3678,3678,3678,3720,3763
"8","CABALLITO",11,28,45,239,630,1079,1380,1556,1624,1698,1914,2067,2277,2794,3146,3402,3498,3516,3521,3521,3527,3572,3618
"9","CHACARITA",0,108,108,360,1297,1801,2017,2197,2233,2341,2486,2738,2990,3422,3818,4034,4070,4106,4106,4106,4106,4106,4106
"10","COGHLAN",0,54,54,215,1021,1129,1290,1344,1344,1344,1451,1505,1613,2258,2688,2795,2795,2795,2795,2849,2849,2903,2903
"11","COLEGIALES",0,19,304,476,894,1256,1484,1579,1656,1770,1884,1979,2169,2436,2797,3026,3121,3159,3159,3159,3159,3159,3159
"12","CONSTITUCION",0,0,159,589,1224,1746,2131,2222,2222,2471,2675,2879,3038,3582,4149,4466,4648,4738,4738,4738,4738,4738,4784
"13","FLORES",18,134,469,895,1564,2057,2343,2507,2568,2672,2848,2970,3201,3658,4218,4455,4504,4546,4565,4571,4571,4589,4601
"14","FLORESTA",0,80,106,506,958,1304,1623,1969,1969,2076,2209,2342,2555,3061,3540,3779,3832,3859,3886,3886,3886,3886,3886
"15","LINIERS",0,45,91,340,1156,1631,2062,2107,2175,2243,2357,2561,2674,3331,3897,4079,4101,4192,4215,4215,4237,4237,4305
"16","MATADEROS",0,47,93,388,869,1257,1505,1769,1909,2049,2250,2390,2576,3212,3694,4051,4159,4206,4221,4237,4252,4283,4345
"17","MONSERRAT",25,125,150,501,1228,1654,1979,2155,2205,2305,2430,2606,2806,3232,3783,3959,4084,4084,4084,4109,4159,4184,4234
"18","MONTE CASTRO",59,89,119,268,565,1071,1338,1606,1666,1755,2022,2320,2528,3034,3420,3599,3628,3747,3747,3747,3807,3807,3837
"19","NUEVA POMPEYA",0,23,117,820,1569,2155,2553,2670,2740,2928,3162,3326,3490,4005,4661,4965,5083,5129,5129,5129,5176,5176,5223
"20","NUÑEZ",0,38,135,231,597,1020,1232,1367,1424,1482,1578,1713,1809,2117,2560,2849,2984,3080,3080,3080,3099,3176,3234
"21","PALERMO",18,40,124,384,790,1205,1523,1669,1722,1841,2022,2167,2371,2763,3178,3381,3443,3474,3474,3487,3496,3527,3554
"22","PARQUE AVELLANEDA",0,169,207,432,845,1315,1653,1804,1916,2048,2179,2292,2574,2987,3419,3532,3607,3626,3645,3682,3701,3701,3720
"23","PARQUE CHACABUCO",0,18,142,426,800,1173,1386,1528,1581,1723,1830,1883,2061,2470,2932,3269,3358,3376,3394,3394,3394,3429,3483
"24","PARQUE CHAS",0,57,114,114,172,572,743,1201,1258,1372,1830,2001,2344,2687,3145,3374,3431,3431,3431,3431,3431,3431,3431
"25","PARQUE PATRICIOS",0,0,73,415,1098,1757,2172,2318,2391,2416,2611,2879,3147,3660,4489,4929,5124,5295,5319,5368,5368,5514,5636
"26","PATERNAL",0,0,51,456,1217,1724,1927,1978,2079,2130,2282,2333,2536,2992,3753,3956,4514,4514,4514,4514,4514,4514,4565
"27","PUERTO MADERO",0,0,0,0,297,446,892,892,892,1041,1189,1189,1189,1635,1784,2081,2081,2081,2081,2081,2081,2081,2230
"28","RECOLETA",25,51,228,450,931,1323,1678,1843,1982,2115,2324,2526,2659,3134,3533,3742,3812,3888,3888,3888,3888,3932,3951
"29","RETIRO",31,107,596,764,1055,1330,1498,1666,1712,1773,1911,1942,2033,2400,2675,2859,2950,2996,3027,3027,3027,3057,3057
"30","SAAVEDRA",20,60,80,239,636,835,974,1133,1173,1292,1471,1531,1690,2127,2644,2943,3062,3102,3102,3102,3102,3102,3102
"31","SAN CRISTOBAL",21,82,226,597,1296,2098,2551,2736,2818,2962,3147,3291,3579,4176,4752,5122,5266,5307,5328,5328,5328,5349,5369
"32","SAN NICOLAS",0,34,137,444,957,1571,1845,2050,2186,2323,2630,2835,3109,3792,4338,4680,4851,4919,4919,4919,4919,4953,4953
"33","SAN TELMO",49,49,196,342,978,1467,2005,2298,2347,2494,2542,2640,2885,3520,4107,4254,4254,4303,4351,4400,4400,4449,4449
"34","VELEZ SARSFIELD",0,29,200,542,1083,1653,1995,2109,2138,2252,2508,2594,2851,3307,3791,3991,4190,4333,4333,4333,4333,4333,4390
"35","VERSALLES",0,0,0,0,362,723,868,1158,1302,1375,1375,1809,2026,2387,2749,2894,3111,3183,3183,3183,3183,3183,3256
"36","VILLA CRESPO",0,61,256,415,805,1184,1513,1696,1806,1879,2025,2184,2367,2892,3331,3551,3575,3636,3636,3636,3636,3660,3660
"37","VILLA DEL PARQUE",36,72,90,253,507,868,1049,1176,1285,1375,1520,1610,1827,2334,2859,3148,3202,3220,3238,3257,3257,3275,3293
"38","VILLA DEVOTO",15,45,105,391,767,1353,1774,1879,1984,2120,2330,2465,2751,3292,3578,3788,3894,3894,3894,3894,3894,3924,3954
"39","VILLA GRAL. MITRE",0,0,86,230,634,1095,1412,1498,1556,1642,1901,1988,2189,2477,2823,2938,2996,3054,3054,3054,3054,3054,3082
"40","VILLA LUGANO",0,24,111,411,950,1250,1496,1733,1780,1867,2042,2144,2279,2746,3268,3537,3640,3680,3695,3711,3711,3711,3751
"41","VILLA LURO",0,62,62,369,708,1231,1477,1631,1815,1908,2123,2246,2431,2708,3323,3538,3723,3754,3754,3754,3754,3784,3784
"42","VILLA ORTUZAR",0,0,46,46,460,966,1610,1702,1748,1794,1932,1978,2116,2530,3036,3220,3312,3312,3312,3312,3312,3312,3358
"43","VILLA PUEYRREDON",0,50,101,277,605,832,1034,1185,1337,1488,1639,1790,1967,2522,2850,3077,3152,3278,3278,3304,3304,3329,3354
"44","VILLA REAL",149,224,224,224,745,1192,1490,1565,2087,2310,2459,2608,2832,3204,3428,3726,3875,4099,4099,4099,4099,4099,4173
"45","VILLA RIACHUELO",0,142,213,426,781,1420,1491,1704,1704,1846,1988,2201,2272,2911,3763,4047,4118,4118,4118,4118,4118,4118,4260
"46","VILLA SANTA RITA",0,30,30,540,960,1470,1740,1860,1860,1920,1950,2071,2221,2521,2911,3181,3271,3301,3331,3331,3331,3331,3331
"47","VILLA SOLDATI",0,0,86,428,983,1454,1838,2031,2095,2116,2266,2351,2544,2950,3570,3848,3912,3912,3912,3912,3912,3933,3976
"48","VILLA URQUIZA",0,22,87,426,950,1332,1584,1758,1835,2010,2184,2283,2435,2883,3211,3407,3451,3495,3506,3528,3539,3571,3593
