"","commune","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1",1,4,14,60,116,222,309,372,406,416,443,477,503,537,638,732,780,804,814,817,819,821,826,831
"2",2,4,8,36,71,147,209,265,291,313,334,367,399,420,495,558,591,602,614,614,614,614,621,624
"3",3,2,7,32,106,227,332,415,464,483,506,552,577,619,732,851,916,938,942,943,946,946,951,959
"4",4,1,4,26,122,256,369,445,471,486,509,545,577,617,738,859,928,955,971,974,978,981,987,999
"5",5,1,8,27,71,165,251,316,338,357,378,414,439,469,541,618,664,681,685,685,685,686,690,699
"6",6,2,5,8,42,111,190,243,274,286,299,337,364,401,492,554,599,616,619,620,620,621,629,637
"7",7,3,23,85,171,302,404,463,498,511,536,571,594,642,740,858,916,929,937,941,942,942,947,952
"8",8,0,5,21,78,177,246,296,338,347,361,392,412,439,526,633,684,701,706,708,710,710,711,720
"9",9,0,14,21,63,152,223,276,303,321,340,365,389,421,513,592,629,641,649,652,655,658,660,668
"10",10,4,12,20,62,131,209,256,292,310,328,360,390,426,497,573,608,629,644,645,645,647,648,653
"11",11,3,8,16,66,133,225,283,304,319,338,370,391,434,518,591,634,649,653,655,656,656,659,663
"12",12,1,8,17,66,162,218,259,290,305,333,366,385,416,513,590,634,647,658,659,663,664,669,672
"13",13,0,13,44,74,164,242,298,332,347,368,405,433,466,543,629,685,706,715,716,717,719,727,732
"14",14,4,9,28,87,179,273,345,378,390,417,458,491,537,626,720,766,780,787,787,790,792,799,805
"15",15,0,11,30,58,149,225,284,317,332,349,385,410,447,530,619,656,674,681,681,681,681,683,686
