"","neighborhood","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022"
"1","AGRONOMIA",0,2,2,2,10,13,18,20,21,25,31,31,33,37,45,46,47,48,48,48,48,48,49
"2","ALMAGRO",1,5,16,47,119,185,238,253,268,287,308,330,347,399,460,494,508,511,511,511,512,514,521
"3","BALVANERA",1,3,21,77,164,230,291,331,346,362,399,417,445,529,620,667,682,684,684,687,687,691,698
"4","BARRACAS",0,1,14,53,105,139,164,172,176,183,193,197,208,253,287,312,322,327,328,329,330,330,335
"5","BELGRANO",0,10,21,37,86,123,156,178,186,198,224,240,258,305,349,378,387,389,390,391,392,396,398
"6","BOCA",1,2,4,17,39,66,83,90,95,102,110,120,131,164,189,202,206,208,209,210,210,210,210
"7","BOEDO",0,3,11,24,46,66,78,85,89,91,106,109,122,142,158,170,173,174,174,174,174,176,178
"8","CABALLITO",2,5,8,42,111,190,243,274,286,299,337,364,401,492,554,599,616,619,620,620,621,629,637
"9","CHACARITA",0,3,3,10,36,50,56,61,62,65,69,76,83,95,106,112,113,114,114,114,114,114,114
"10","COGHLAN",0,1,1,4,19,21,24,25,25,25,27,28,30,42,50,52,52,52,52,53,53,54,54
"11","COLEGIALES",0,1,16,25,47,66,78,83,87,93,99,104,114,128,147,159,164,166,166,166,166,166,166
"12","CONSTITUCION",0,0,7,26,54,77,94,98,98,109,118,127,134,158,183,197,205,209,209,209,209,209,211
"13","FLORES",3,22,77,147,257,338,385,412,422,439,468,488,526,601,693,732,740,747,750,751,751,754,756
"14","FLORESTA",0,3,4,19,36,49,61,74,74,78,83,88,96,115,133,142,144,145,146,146,146,146,146
"15","LINIERS",0,2,4,15,51,72,91,93,96,99,104,113,118,147,172,180,181,185,186,186,187,187,190
"16","MATADEROS",0,3,6,25,56,81,97,114,123,132,145,154,166,207,238,261,268,271,272,273,274,276,280
