"","date","dose_1","dose_1_cumulative","dose_1_perc","dose_2","dose_2_cumulative","dose_2_perc","dose_3","dose_3_cumulative","dose_3_perc","difference_1_2"
"1",2020-12-29,671,671,0.02,0,0,0,0,0,0,0.02
"2",2020-12-30,782,1453,0.05,0,0,0,0,0,0,0.05
"3",2020-12-31,81,1534,0.05,0,0,0,0,0,0,0.05
"4",2021-01-01,0,1534,0.05,0,0,0,0,0,0,0.05
"5",2021-01-02,382,1916,0.06,0,0,0,0,0,0,0.06
"6",2021-01-03,148,2064,0.07,0,0,0,0,0,0,0.07
"7",2021-01-04,844,2908,0.09,0,0,0,0,0,0,0.09
"8",2021-01-05,1200,4108,0.13,0,0,0,0,0,0,0.13
"9",2021-01-06,1289,5397,0.18,0,0,0,0,0,0,0.18
"10",2021-01-07,1421,6818,0.22,0,0,0,0,0,0,0.22
"11",2021-01-08,1842,8660,0.28,0,0,0,0,0,0,0.28
"12",2021-01-09,439,9099,0.3,0,0,0,0,0,0,0.3
"13",2021-01-10,567,9666,0.31,0,0,0,0,0,0,0.31
"14",2021-01-11,1848,11514,0.37,0,0,0,0,0,0,0.37
"15",2021-01-12,1680,13194,0.43,0,0,0,0,0,0,0.43
"16",2021-01-13,1355,14549,0.47,0,0,0,0,0,0,0.47
"17",2021-01-14,2213,16762,0.54,0,0,0,0,0,0,0.54
"18",2021-01-15,3409,20171,0.66,0,0,0,0,0,0,0.66
"19",2021-01-16,1329,21500,0.7,0,0,0,0,0,0,0.7
"20",2021-01-17,829,22329,0.73,0,0,0,0,0,0,0.73
"21",2021-01-18,504,22833,0.74,0,0,0,0,0,0,0.74
"22",2021-01-19,399,23232,0.76,354,354,0.01,0,0,0,0.75
"23",2021-01-20,234,23466,0.76,560,914,0.03,0,0,0,0.73
"24",2021-01-21,125,23591,0.77,196,1110,0.04,0,0,0,0.73
"25",2021-01-22,22,23613,0.77,67,1177,0.04,0,0,0,0.73
"26",2021-01-23,39,23652,0.77,279,1456,0.05,0,0,0,0.72
"27",2021-01-24,20,23672,0.77,112,1568,0.05,0,0,0,0.72
"28",2021-01-25,88,23760,0.77,657,2225,0.07,0,0,0,0.7
"29",2021-01-26,146,23906,0.78,901,3126,0.1,0,0,0,0.68
"30",2021-01-27,120,24026,0.78,992,4118,0.13,0,0,0,0.65
"31",2021-01-28,117,24143,0.78,1149,5267,0.17,0,0,0,0.61
"32",2021-01-29,59,24202,0.79,1637,6904,0.22,0,0,0,0.57
"33",2021-01-30,6,24208,0.79,406,7310,0.24,0,0,0,0.55
"34",2021-01-31,1,24209,0.79,342,7652,0.25,0,0,0,0.54
"35",2021-02-01,1,24210,0.79,1490,9142,0.3,0,0,0,0.49
"36",2021-02-02,1727,25937,0.84,1461,10603,0.34,0,0,0,0.5
"37",2021-02-03,2355,28292,0.92,1225,11828,0.38,0,0,0,0.54
"38",2021-02-04,1768,30060,0.98,1801,13629,0.44,0,0,0,0.54
"39",2021-02-05,2817,32877,1.07,2810,16439,0.53,0,0,0,0.54
"40",2021-02-06,300,33177,1.08,949,17388,0.57,0,0,0,0.51
"41",2021-02-07,374,33551,1.09,631,18019,0.59,0,0,0,0.5
"42",2021-02-08,1178,34729,1.13,1285,19304,0.63,0,0,0,0.5
"43",2021-02-09,1984,36713,1.19,941,20245,0.66,0,0,0,0.53
"44",2021-02-10,1021,37734,1.23,550,20795,0.68,0,0,0,0.55
